,year,carrier,air_taxi,general,military,total_itinerant,total_ops
APA,1990,0,"3,971","169,206","2,167","175,344","386,057"
APA,1991,0,"3,292","155,094","1,763","160,149","361,050"
APA,1992,0,"5,600","167,791","2,129","175,520","376,417"
APA,1993,35,"7,417","183,758","2,171","193,381","415,453"
APA,1994,10,"11,333","186,667","1,900","199,910","422,463"
APA,1995,0,"13,576","183,227","1,168","197,971","402,325"
APA,1996,0,"14,512","168,771",962,"184,245","359,704"
APA,1997,60,"19,757","190,253",959,"211,029","408,602"
APA,1998,0,"30,800","209,641","1,544","241,985","466,267"
APA,1999,2,"31,282","181,893",847,"214,024","436,073"
APA,2000,0,"35,644","164,402",860,"200,906","398,164"
APA,2001,0,"37,050","152,226",925,"190,201","383,522"
APA,2002,118,"46,689","162,760","1,271","210,838","421,515"
APA,2003,0,"45,648","137,633","1,600","184,881","361,459"
APA,2004,0,"51,888","134,842","2,044","188,774","356,909"
APA,2005,0,"56,012","132,715","1,507","190,234","347,504"
APA,2006,0,"52,260","130,332","1,503","184,095","319,799"
APA,2007,0,"52,051","103,638","1,868","157,557","337,051"
APA,2008,3,"44,376","62,251","1,416","108,046","320,949"
APA,2009,1,"33,065","106,804","2,594","142,464","263,026"
APA,2010,30,"31,278","119,049","3,376","153,733","283,186"
APA,2011,68,"36,191","126,112","3,482","165,853","294,591"
APA,2012,44,"33,248","134,904","3,075","171,271","298,566"
APA,2013,32,"30,947","134,927","2,446","168,352","292,384"
APA,2014,88,"33,857","140,133","3,469","177,547","309,457"
APA,2015,93,"26,447","133,055","3,293","162,888","313,282"
APA,2016,43,"24,979","145,807","3,588","174,417","332,111"
APA,2017,58,"26,865","141,529","3,621","172,073","326,023"
APA,2018,97,"32,045","137,653","3,836","173,631","337,998"
APA,2019,22,"7,881","32,250",654,"40,807","74,026"
ATL,1989,"141,485","41,945","5,870",365,"189,665","189,901"
ATL,1990,"581,742","185,748","20,492","1,381","789,363","790,502"
ATL,1991,"420,596","146,088","18,701","3,572","588,957","589,470"
ATL,1992,"447,095","149,005","20,911","4,381","621,392","621,640"
ATL,1993,"485,595","158,473","23,331","3,725","671,124","671,183"
ATL,1994,"528,544","153,841","23,441","3,352","709,178","709,221"
ATL,1995,"584,318","151,136","23,470","2,684","761,608","761,618"
ATL,1996,"580,558","154,622","23,131","2,651","760,962","761,011"
ATL,1997,"603,804","163,636","23,158","2,437","793,035","793,299"
ATL,1998,"637,603","182,959","23,131","3,169","846,862","846,943"
ATL,1999,"668,175","211,855","25,990","3,878","909,898","909,911"
ATL,2000,"685,390","204,020","20,938","2,032","912,380","913,449"
ATL,2001,"671,013","200,024","12,043",714,"883,794","886,995"
ATL,2002,"649,843","221,561","16,609","1,754","889,767","890,923"
ATL,2003,"657,582","240,973","11,909","1,324","911,788","911,788"
ATL,2004,"697,966","254,127","11,187","1,513","964,793","964,793"
ATL,2005,"692,165","275,568","10,767","1,886","980,386","980,386"
ATL,2006,"673,734","291,762","9,417","1,534","976,447","976,447"
ATL,2007,"722,461","257,222","8,280",610,"988,573","991,627"
ATL,2008,"750,597","217,245","4,120",544,"972,506","978,084"
ATL,2009,"721,166","240,924","7,060","1,108","970,258","970,258"
ATL,2010,"719,826","222,150","7,269",874,"950,119","950,119"
ATL,2011,"726,452","190,372","6,792",375,"923,991","923,991"
ATL,2012,"740,151","181,776","7,743",428,"930,098","930,098"
ATL,2013,"725,189","178,456","7,234",195,"911,074","911,074"
ATL,2014,"734,632","125,700","7,789",238,"868,359","868,359"
ATL,2015,"780,326","94,223","7,291",657,"882,497","882,497"
ATL,2016,"798,202","92,041","7,892",221,"898,356","898,356"
ATL,2017,"782,571","89,045","7,715",167,"879,498","879,498"
ATL,2018,"802,769","85,130","7,441",162,"895,502","895,502"
ATL,2019,"193,818","19,850","2,053",41,"215,762","215,762"
BED,1990,18,"20,715","133,118","2,045","155,896","233,568"
BED,1991,23,"10,112","119,492","2,698","132,325","213,334"
BED,1992,3,"7,509","110,297","2,258","120,067","203,758"
BED,1993,0,"6,219","101,246","2,551","110,016","196,138"
BED,1994,0,"3,887","95,338","1,915","101,140","187,491"
BED,1995,5,"3,674","98,159","2,403","104,241","190,342"
BED,1996,20,"3,892","97,052","1,743","102,707","179,498"
BED,1997,61,"3,930","105,557","2,004","111,552","188,070"
BED,1998,60,"4,989","107,838","1,875","114,762","183,314"
BED,1999,212,"6,992","115,048","1,554","123,806","197,301"
BED,2000,920,"15,236","119,254","1,285","136,695","212,371"
BED,2001,158,"20,480","110,941","1,246","132,825","205,436"
BED,2002,233,"26,546","113,196","1,344","141,319","218,248"
BED,2003,296,"21,219","100,541","1,135","123,191","194,887"
BED,2004,410,"23,658","94,741","1,144","119,953","180,682"
BED,2005,350,"22,852","87,321",875,"111,398","170,054"
BED,2006,446,"24,906","86,303","1,378","113,033","172,470"
BED,2007,448,"27,232","61,395","1,057","90,132","166,279"
BED,2008,598,"28,160","51,437",901,"81,096","186,065"
BED,2009,660,"25,583","92,510","1,725","120,478","179,165"
BED,2010,431,"21,965","85,319","1,848","109,563","175,832"
BED,2011,344,"20,736","80,243","1,281","102,604","162,997"
BED,2012,266,"19,131","75,917",690,"96,004","166,211"
BED,2013,253,"18,837","72,644",521,"92,255","154,488"
BED,2014,256,"18,952","64,211",565,"83,984","134,295"
BED,2015,220,"19,258","60,168",573,"80,219","128,279"
BED,2016,267,"20,593","59,761",609,"81,230","121,789"
BED,2017,295,"22,488","59,207",560,"82,550","128,598"
BED,2018,319,"22,379","56,253",425,"79,376","121,664"
BED,2019,149,"4,860","12,357",91,"17,457","26,813"
BOS,1989,"61,529","35,728","11,934",60,"109,251","110,748"
BOS,1990,"246,449","163,906","38,689",644,"449,688","449,688"
BOS,1991,"230,985","179,553","30,608",610,"441,756","441,756"
BOS,1992,"243,235","212,002","30,779",769,"486,785","486,785"
BOS,1993,"244,100","230,442","28,648",549,"503,739","503,739"
BOS,1994,"247,249","191,097","29,924",651,"468,921","468,921"
BOS,1995,"236,717","201,904","37,179",686,"476,486","476,486"
BOS,1996,"230,362","204,563","29,435",690,"465,050","465,050"
BOS,1997,"242,329","224,601","34,573",684,"502,187","502,187"
BOS,1998,"257,603","223,312","34,281",592,"515,788","515,788"
BOS,1999,"267,412","198,627","35,537",588,"502,164","502,164"
BOS,2000,"271,262","203,855","31,633",551,"507,301","508,283"
BOS,2001,"244,409","202,767","22,200",658,"470,034","471,989"
BOS,2002,"206,712","176,948","19,190",638,"403,488","404,649"
BOS,2003,"185,166","173,879","19,421",474,"378,940","379,439"
BOS,2004,"219,786","171,129","30,667",778,"422,360","422,460"
BOS,2005,"217,775","176,755","26,165",730,"421,425","421,506"
BOS,2006,"212,509","177,731","24,595",734,"415,569","415,649"
BOS,2007,"205,620","175,541","15,975",397,"397,533","402,821"
BOS,2008,"193,229","162,282","9,418",237,"365,166","375,394"
BOS,2009,"184,374","158,592","17,754",659,"361,379","361,379"
BOS,2010,"179,493","169,585","18,912",861,"368,851","368,851"
BOS,2011,"204,170","151,437","16,408",682,"372,697","372,697"
BOS,2012,"262,125","81,537","15,257",714,"359,633","359,633"
BOS,2013,"272,387","78,594","14,820",684,"366,485","366,485"
BOS,2014,"279,729","72,574","15,230",774,"368,307","368,307"
BOS,2015,"288,650","72,650","15,750",963,"378,013","378,013"
BOS,2016,"305,491","75,323","14,582",415,"395,811","395,811"
BOS,2017,"321,724","68,999","14,623",476,"405,822","405,822"
BOS,2018,"343,540","69,777","15,694",323,"429,334","429,334"
BOS,2019,"80,144","11,663","3,368",69,"95,244","95,244"
BWI,1989,"40,036","21,075","13,441",287,"74,839","75,122"
BWI,1990,"156,745","89,354","53,360","1,886","301,345","302,224"
BWI,1991,"144,815","81,392","46,043","2,088","274,338","275,903"
BWI,1992,"122,524","89,526","41,610","2,423","256,083","264,165"
BWI,1993,"126,657","86,686","40,173","2,203","255,719","264,002"
BWI,1994,"162,528","80,685","36,616","2,734","282,563","295,960"
BWI,1995,"150,223","88,421","31,727","1,710","272,081","289,664"
BWI,1996,"149,442","88,238","21,433","1,516","260,629","267,816"
BWI,1997,"154,397","81,016","21,831","1,612","258,856","265,888"
BWI,1998,"167,889","78,100","28,646","3,277","277,912","291,093"
BWI,1999,"192,809","72,648","24,106","2,357","291,920","303,287"
BWI,2000,"212,687","65,010","21,803","2,141","301,641","315,348"
BWI,2001,"226,703","64,715","27,309","3,089","321,816","323,771"
BWI,2002,"207,477","62,169","31,480","3,035","304,161","305,013"
BWI,2003,"211,255","45,760","35,701","2,021","294,737","299,817"
BWI,2004,"218,262","51,941","32,790",984,"303,977","309,246"
BWI,2005,"216,520","54,790","31,698",850,"303,858","309,801"
BWI,2006,"209,198","59,373","32,690",786,"302,047","307,669"
BWI,2007,"209,182","55,611","21,512",492,"286,797","296,639"
BWI,2008,"204,221","45,472","10,587",311,"260,591","277,889"
BWI,2009,"200,178","45,344","17,487",747,"263,756","268,016"
BWI,2010,"211,103","42,062","18,687",773,"272,625","276,457"
BWI,2011,"218,794","39,746","16,714",769,"276,023","276,203"
BWI,2012,"210,842","40,312","15,610",998,"267,762","268,006"
BWI,2013,"206,913","34,813","15,737","1,343","258,806","259,773"
BWI,2014,"197,343","28,433","15,436","1,152","242,364","245,121"
BWI,2015,"202,578","25,783","14,730","1,278","244,369","246,460"
BWI,2016,"207,034","26,017","14,154","1,348","248,553","248,585"
BWI,2017,"216,589","30,748","13,265","1,100","261,702","261,702"
BWI,2018,"221,775","31,508","12,327",959,"266,569","266,569"
BWI,2019,"48,114","7,347","2,657",280,"58,398","58,398"
CLT,1989,"60,776","29,798","19,463",889,"110,926","111,311"
CLT,1990,"243,982","123,169","78,406","5,261","450,818","450,818"
CLT,1991,"256,877","117,855","66,433","5,250","446,415","446,415"
CLT,1992,"258,216","133,189","65,317","5,222","461,944","461,944"
CLT,1993,"245,810","133,931","66,050","4,756","450,547","450,547"
CLT,1994,"271,277","139,171","65,563","4,191","480,202","480,202"
CLT,1995,"270,282","130,531","60,632","3,623","465,068","465,068"
CLT,1996,"272,308","123,213","60,230","3,693","459,444","459,444"
CLT,1997,"271,151","124,380","58,928","3,427","457,886","457,886"
CLT,1998,"258,382","134,678","58,708","3,374","455,142","455,142"
CLT,1999,"249,675","131,835","59,602","3,517","444,629","444,629"
CLT,2000,"274,686","130,006","52,145","3,533","460,370","460,370"
CLT,2001,"253,905","166,171","47,392","3,658","471,126","471,155"
CLT,2002,"234,430","178,139","44,604","2,315","459,488","459,488"
CLT,2003,"206,859","196,256","37,289","1,976","442,380","442,388"
CLT,2004,"213,800","213,983","37,982","1,877","467,642","467,676"
CLT,2005,"258,693","226,751","36,102","1,689","523,235","523,270"
CLT,2006,"259,276","215,763","33,823","2,056","510,918","510,918"
CLT,2007,"289,850","199,529","25,848","1,314","516,541","525,943"
CLT,2008,"315,130","189,595","14,167",877,"519,769","537,598"
CLT,2009,"319,275","164,839","23,483","1,867","509,464","509,464"
CLT,2010,"331,116","171,836","24,414","1,741","529,107","529,107"
CLT,2011,"329,680","184,122","24,131","1,909","539,842","539,842"
CLT,2012,"343,132","183,897","23,777","1,709","552,515","552,515"
CLT,2013,"356,086","175,051","25,426","1,392","557,955","557,955"
CLT,2014,"361,354","156,221","26,323","1,396","545,294","545,294"
CLT,2015,"363,667","152,215","25,639","2,423","543,944","543,944"
CLT,2016,"400,819","117,378","24,869","2,676","545,742","545,742"
CLT,2017,"427,837","99,460","24,920","1,600","553,817","553,817"
CLT,2018,"448,537","76,989","23,774",713,"550,013","550,013"
CLT,2019,"114,531","18,461","6,057",190,"139,239","139,239"
CVG,1989,"30,812","30,138","6,856",387,"68,193","68,302"
CVG,1990,"136,201","130,876","22,292","1,769","291,138","291,627"
CVG,1991,"144,970","135,955","15,595","1,503","298,023","298,044"
CVG,1992,"153,113","139,449","11,764","1,218","305,544","305,544"
CVG,1993,"152,467","145,286","13,220","1,131","312,104","312,104"
CVG,1994,"155,312","168,120","14,814","1,593","339,839","339,839"
CVG,1995,"168,441","180,508","14,950","1,215","365,114","365,114"
CVG,1996,"189,762","196,072","14,155","1,378","401,367","401,367"
CVG,1997,"343,493","55,412","16,986","1,003","416,894","416,894"
CVG,1998,"326,784","91,521","23,641","1,124","443,070","443,070"
CVG,1999,"188,023","256,459","30,043","1,603","476,128","476,128"
CVG,2000,"180,437","265,507","30,490","1,410","477,844","477,844"
CVG,2001,"156,105","200,872","27,723","1,688","386,388","386,388"
CVG,2002,"153,997","306,812","22,727","1,620","485,156","485,156"
CVG,2003,"141,788","346,194","15,974","1,601","505,557","505,557"
CVG,2004,"177,532","329,193","8,975",151,"515,851","515,851"
CVG,2005,"165,397","322,431","7,436",184,"495,448","495,452"
CVG,2006,"93,312","245,584","6,663",199,"345,758","345,758"
CVG,2007,"90,151","231,313","4,995",119,"326,578","328,261"
CVG,2008,"78,604","201,174","3,095",98,"282,971","286,068"
CVG,2009,"68,876","149,478","4,276",161,"222,791","222,791"
CVG,2010,"67,527","105,207","4,751",125,"177,610","177,610"
CVG,2011,"71,426","85,941","4,906",149,"162,422","162,422"
CVG,2012,"63,601","74,918","4,838",221,"143,578","143,578"
CVG,2013,"60,921","71,818","4,812",190,"137,741","137,741"
CVG,2014,"62,501","65,628","5,396",94,"133,619","133,619"
CVG,2015,"76,868","50,098","6,120",139,"133,225","133,225"
CVG,2016,"87,506","43,239","6,297",183,"137,225","137,225"
CVG,2017,"112,652","31,783","5,896",132,"150,463","150,463"
CVG,2018,"131,053","24,989","5,421",243,"161,706","161,744"
CVG,2019,"29,899","7,167","1,027",72,"38,165","38,288"
DCA,1989,"49,306","14,073","17,006",50,"80,435","80,443"
DCA,1990,"195,773","59,766","61,207",309,"317,055","317,055"
DCA,1991,"181,818","59,925","57,610",470,"299,823","299,823"
DCA,1992,"183,576","71,103","54,452",622,"309,753","309,753"
DCA,1993,"183,777","78,205","56,918","1,436","320,336","320,336"
DCA,1994,"190,218","70,457","52,292","2,946","315,913","315,913"
DCA,1995,"183,420","76,394","50,884","3,312","314,010","314,058"
DCA,1996,"175,177","81,844","48,461","4,937","310,419","310,419"
DCA,1997,"177,889","82,332","50,174","5,271","315,666","315,669"
DCA,1998,"173,568","78,529","51,808","10,033","313,938","313,938"
DCA,1999,"177,172","73,838","60,790","22,968","334,768","334,768"
DCA,2000,"174,882","88,276","59,292","20,027","342,477","342,790"
DCA,2001,"138,780","80,881","45,515","4,969","270,145","270,145"
DCA,2002,"133,599","79,668","2,334","1,152","216,753","216,753"
DCA,2003,"141,940","108,412","2,902",336,"253,590","253,590"
DCA,2004,"154,222","113,547","3,446",265,"271,480","271,480"
DCA,2005,"183,001","91,721","3,101",311,"278,134","278,134"
DCA,2006,"157,864","116,811","3,172",624,"278,471","278,471"
DCA,2007,"155,425","118,241","4,130",198,"277,994","279,488"
DCA,2008,"172,122","99,601","2,513",624,"274,860","277,921"
DCA,2009,"173,940","93,020","5,379","1,819","274,158","274,158"
DCA,2010,"179,869","88,184","4,788","1,296","274,137","274,137"
DCA,2011,"194,848","83,909","5,237",618,"284,612","284,612"
DCA,2012,"189,062","92,121","6,441","1,567","289,191","289,191"
DCA,2013,"197,331","91,451","5,057","2,353","296,192","296,192"
DCA,2014,"204,586","75,976","3,805","3,055","287,422","287,422"
DCA,2015,"222,309","68,342","3,112","3,332","297,095","297,095"
DCA,2016,"233,800","59,035","3,363","3,472","299,670","299,670"
DCA,2017,"240,070","52,130","3,916","3,244","299,360","299,360"
DCA,2018,"234,590","56,605","3,114","2,739","297,048","297,048"
DCA,2019,"58,607","12,770",689,727,"72,793","72,793"
DEN,1989,"75,044","29,100","9,350",450,"113,944","113,981"
DEN,1990,"305,660","138,404","38,250","1,641","483,955","484,130"
DEN,1991,"304,338","148,727","33,029","1,915","488,009","488,162"
DEN,1992,"323,007","155,084","32,856","1,449","512,396","512,497"
DEN,1993,"354,270","173,702","29,140","1,502","558,614","558,695"
DEN,1994,"322,498","178,383","29,469","1,568","531,918","531,931"
DEN,1995,"312,154","134,526","28,129","1,123","475,932","476,025"
DEN,1996,"322,023","107,816","22,489",791,"453,119","453,139"
DEN,1997,"341,873","128,276","22,478",771,"493,398","493,462"
DEN,1998,"342,947","112,162","20,435","1,086","476,630","476,716"
DEN,1999,"362,824","119,799","16,846",982,"500,451","500,612"
DEN,2000,"370,072","142,662","14,855",920,"528,509","528,604"
DEN,2001,"352,033","139,538","14,614","1,551","507,736","507,826"
DEN,2002,"338,049","157,777","12,416",987,"509,229","509,477"
DEN,2003,"323,610","174,092","11,178","1,393","510,273","510,307"
DEN,2004,"330,659","224,970","9,930",949,"566,508","566,514"
DEN,2005,"384,384","172,475","9,779",878,"567,516","567,632"
DEN,2006,"428,653","167,902","11,583","1,376","609,514","609,522"
DEN,2007,"451,192","162,621","4,476",195,"618,484","619,941"
DEN,2008,"460,311","160,746","2,403",100,"623,560","625,844"
DEN,2009,"456,617","151,632","3,509",130,"611,888","611,888"
DEN,2010,"468,975","162,646","3,721",116,"635,458","635,458"
DEN,2011,"452,225","178,744","3,628",87,"634,684","634,684"
DEN,2012,"443,389","170,809","3,900",159,"618,257","618,257"
DEN,2013,"420,073","162,719","3,988",80,"586,860","586,860"
DEN,2014,"422,178","148,436","4,021",526,"575,161","575,161"
DEN,2015,"424,930","118,147","4,464",107,"547,648","547,648"
DEN,2016,"445,019","122,982","4,376",143,"572,520","572,520"
DEN,2017,"461,992","116,305","4,120",69,"582,486","582,486"
DEN,2018,"462,276","137,027","3,979",121,"603,403","603,403"
DEN,2019,"109,156","33,213",843,16,"143,228","143,228"
DFW,1989,"125,982","48,275","4,284",212,"178,753","178,820"
DFW,1990,"546,208","167,785","16,306",925,"731,224","731,224"
DFW,1991,"550,315","169,412","15,662",767,"736,156","736,156"
DFW,1992,"572,862","175,021","15,425",987,"764,295","764,295"
DFW,1993,"599,824","189,200","13,822","1,056","803,902","803,902"
DFW,1994,"617,364","209,187","13,965",877,"841,393","841,393"
DFW,1995,"635,521","227,552","15,897","1,466","880,436","880,436"
DFW,1996,"607,915","226,982","39,838","1,046","875,781","875,781"
DFW,1997,"608,147","228,234","97,484",759,"934,624","934,624"
DFW,1998,"598,403","225,105","105,646",546,"929,700","929,700"
DFW,1999,"601,670","216,287","48,997",384,"867,338","867,338"
DFW,2000,"604,772","217,006","15,359",234,"837,371","865,777"
DFW,2001,"556,800","212,499","12,689",275,"782,263","802,587"
DFW,2002,"496,101","256,371","12,124",201,"764,797","777,386"
DFW,2003,"486,549","271,116","6,403",176,"764,244","775,900"
DFW,2004,"516,985","277,354","6,536",153,"801,028","814,494"
DFW,2005,"486,401","219,881","9,399",318,"715,999","718,207"
DFW,2006,"481,026","211,936","9,375",349,"702,686","702,722"
DFW,2007,"477,920","201,220","5,452",385,"684,977","686,711"
DFW,2008,"475,921","172,699","2,711",438,"651,769","655,306"
DFW,2009,"472,345","161,237","4,596",604,"638,782","638,782"
DFW,2010,"471,046","175,367","5,489",356,"652,258","652,258"
DFW,2011,"467,912","172,629","6,074",188,"646,803","646,803"
DFW,2012,"440,313","203,594","6,017",200,"650,124","650,124"
DFW,2013,"452,263","219,175","6,494",127,"678,059","678,059"
DFW,2014,"474,758","197,376","7,502",184,"679,820","679,820"
DFW,2015,"506,095","168,125","6,829",212,"681,261","681,261"
DFW,2016,"526,563","139,267","6,688",230,"672,748","672,748"
DFW,2017,"569,674","77,637","6,888",145,"654,344","654,344"
DFW,2018,"578,692","81,855","6,482",184,"667,213","667,213"
DFW,2019,"144,158","19,394","1,619",40,"165,211","165,211"
DTW,1989,"70,482","13,024","11,444",42,"94,992","97,234"
DTW,1990,"276,660","57,456","53,527",205,"387,848","387,848"
DTW,1991,"270,784","74,023","50,491",980,"396,278","396,278"
DTW,1992,"285,373","87,995","51,897","2,118","427,383","427,383"
DTW,1993,"300,496","96,179","63,677","2,130","462,482","462,482"
DTW,1994,"322,007","94,473","67,033","1,793","485,306","485,306"
DTW,1995,"335,875","96,259","74,427","1,479","508,040","508,040"
DTW,1996,"351,249","102,668","82,975","1,662","538,554","538,554"
DTW,1997,"350,651","107,151","81,927","1,487","541,216","541,216"
DTW,1998,"334,080","118,428","83,860","1,785","538,153","538,153"
DTW,1999,"329,459","156,808","71,688","1,592","559,547","559,548"
DTW,2000,"327,207","160,313","65,303","1,586","554,409","554,580"
DTW,2001,"319,118","157,689","42,771","1,138","520,716","523,039"
DTW,2002,"341,244","131,586","18,477",290,"491,597","497,564"
DTW,2003,"324,615","150,391","15,902",211,"491,119","493,416"
DTW,2004,"331,629","175,694","14,435",150,"521,908","522,641"
DTW,2005,"315,031","193,480","13,180",208,"521,899","522,964"
DTW,2006,"289,637","179,458","12,539",106,"481,740","482,147"
DTW,2007,"271,034","185,105","8,354",72,"464,565","467,755"
DTW,2008,"241,757","212,129","4,305",95,"458,286","463,793"
DTW,2009,"207,711","217,873","6,876",129,"432,589","432,589"
DTW,2010,"195,506","250,145","6,849",116,"452,616","452,616"
DTW,2011,"189,493","247,041","6,363",131,"443,028","443,028"
DTW,2012,"218,736","202,822","6,033",223,"427,814","427,814"
DTW,2013,"229,560","190,178","5,930",64,"425,732","425,732"
DTW,2014,"243,117","143,122","6,264",132,"392,635","392,635"
DTW,2015,"276,898","96,533","5,843",102,"379,376","379,376"
DTW,2016,"287,584","99,581","6,124",138,"393,427","393,427"
DTW,2017,"302,118","87,065","6,084",90,"395,357","395,357"
DTW,2018,"315,995","71,412","6,188",86,"393,681","393,681"
DTW,2019,"75,480","15,554","1,258",21,"92,313","92,313"
EWR,1989,"66,065","23,446","6,368",158,"96,037","96,037"
EWR,1990,"276,541","86,834","22,584",654,"386,613","386,613"
EWR,1991,"273,542","85,657","20,383",537,"380,119","380,119"
EWR,1992,"286,349","104,569","20,932",502,"412,352","412,352"
EWR,1993,"290,878","128,294","20,994",467,"440,633","440,633"
EWR,1994,"309,759","108,954","20,425",388,"439,526","439,526"
EWR,1995,"294,582","108,346","20,101",313,"423,342","423,342"
EWR,1996,"321,172","114,453","18,566",190,"454,381","454,381"
EWR,1997,"333,634","115,000","18,471",133,"467,238","467,443"
EWR,1998,"345,162","97,592","19,016",140,"461,910","461,910"
EWR,1999,"357,907","85,922","19,060",111,"463,000","463,000"
EWR,2000,"356,342","82,072","18,663",105,"457,182","457,182"
EWR,2001,"324,970","106,073","13,864",130,"445,037","445,082"
EWR,2002,"283,899","113,807","13,445",81,"411,232","411,239"
EWR,2003,"267,622","129,706","12,909",80,"410,317","410,661"
EWR,2004,"272,200","154,495","13,451",165,"440,311","440,437"
EWR,2005,"265,300","161,468","13,504",69,"440,341","440,953"
EWR,2006,"273,776","161,785","12,904",97,"448,562","448,563"
EWR,2007,"273,652","151,480","12,182",55,"437,369","441,908"
EWR,2008,"287,967","139,397","6,881",112,"434,357","442,098"
EWR,2009,"270,223","135,512","9,252",219,"415,206","415,206"
EWR,2010,"266,470","132,488","9,441",422,"408,821","408,821"
EWR,2011,"288,481","114,507","13,663",498,"417,149","417,149"
EWR,2012,"277,853","132,889","9,858",575,"421,175","421,175"
EWR,2013,"281,707","127,797","9,878",468,"419,850","419,850"
EWR,2014,"280,522","111,361","9,756",642,"402,281","402,281"
EWR,2015,"296,017","110,143","10,199",588,"416,947","416,947"
EWR,2016,"310,131","109,547","11,058",478,"431,214","431,214"
EWR,2017,"338,755","92,310","12,219",365,"443,649","443,649"
EWR,2018,"349,893","90,547","11,370",211,"452,021","452,021"
EWR,2019,"83,036","20,152","2,138",41,"105,367","105,367"
FLL,1989,"23,853","12,823","16,030",505,"53,211","54,161"
FLL,1990,"99,362","53,975","63,736","1,478","218,551","224,709"
FLL,1991,"85,980","49,228","60,104","1,173","196,485","203,318"
FLL,1992,"82,920","46,052","71,632","1,452","202,056","209,065"
FLL,1993,"89,588","58,518","67,015",903,"216,024","220,918"
FLL,1994,"107,916","56,824","66,220","1,267","232,227","234,000"
FLL,1995,"103,729","63,030","69,828",770,"237,357","239,241"
FLL,1996,"102,013","59,348","73,947",716,"236,024","237,612"
FLL,1997,"113,038","52,618","78,952",699,"245,307","247,216"
FLL,1998,"116,229","54,417","82,796",706,"254,148","256,255"
FLL,1999,"135,708","50,175","91,862",694,"278,439","280,860"
FLL,2000,"148,384","55,519","86,892",588,"291,383","292,462"
FLL,2001,"153,351","60,047","75,646",565,"289,609","290,124"
FLL,2002,"151,809","65,391","62,532",590,"280,322","280,603"
FLL,2003,"157,026","67,662","62,347",599,"287,634","287,870"
FLL,2004,"173,540","68,495","72,568",629,"315,232","315,336"
FLL,2005,"180,546","81,836","67,977",334,"330,693","330,967"
FLL,2006,"179,848","60,379","56,410",438,"297,075","297,237"
FLL,2007,"193,712","60,196","40,673",488,"295,069","307,952"
FLL,2008,"194,695","52,988","20,929",428,"269,040","295,736"
FLL,2009,"181,528","41,790","42,712",949,"266,979","266,979"
FLL,2010,"187,131","39,600","44,927",635,"272,293","272,293"
FLL,2011,"191,163","35,898","39,621",437,"267,119","267,119"
FLL,2012,"192,052","35,332","35,459",466,"263,309","263,309"
FLL,2013,"190,433","28,987","35,664",577,"255,661","255,661"
FLL,2014,"193,775","28,549","35,594",476,"258,394","258,394"
FLL,2015,"208,219","31,721","37,620",445,"278,005","278,005"
FLL,2016,"220,020","33,061","36,511",647,"290,239","290,239"
FLL,2017,"240,454","33,655","37,975",679,"312,763","312,763"
FLL,2018,"261,281","35,389","35,841",954,"333,465","333,465"
FLL,2019,"70,255","9,878","9,848",284,"90,265","90,265"
IAD,1989,"29,892","10,989","12,818",636,"54,335","54,671"
IAD,1990,"125,599","59,211","59,495","2,919","247,224","248,372"
IAD,1991,"120,888","93,397","54,172","4,778","273,235","274,277"
IAD,1992,"104,704","121,262","53,991","7,979","287,936","288,244"
IAD,1993,"85,550","132,938","53,429","7,640","279,557","280,177"
IAD,1994,"87,088","151,826","50,661","7,224","296,799","297,233"
IAD,1995,"93,096","167,457","49,349","7,066","316,968","317,326"
IAD,1996,"87,808","182,229","56,585","7,177","333,799","333,845"
IAD,1997,"90,767","190,085","62,278","7,073","350,203","350,265"
IAD,1998,"84,861","238,318","65,838","7,431","396,448","396,452"
IAD,1999,"165,351","244,815","64,419","8,192","482,777","482,787"
IAD,2000,"163,166","249,592","59,405","7,706","479,869","479,931"
IAD,2001,"136,441","218,221","62,848","6,640","424,150","424,150"
IAD,2002,"130,485","178,072","81,775","1,847","392,179","392,179"
IAD,2003,"118,588","171,656","73,359","1,631","365,234","365,766"
IAD,2004,"132,028","293,927","74,689","1,612","502,256","502,519"
IAD,2005,"154,286","321,848","73,629","1,089","550,852","553,021"
IAD,2006,"163,072","188,010","67,954",980,"420,016","424,127"
IAD,2007,"185,807","166,885","48,704",608,"402,004","419,127"
IAD,2008,"186,097","149,845","24,989",411,"361,342","391,626"
IAD,2009,"176,489","140,306","48,221",569,"365,585","365,585"
IAD,2010,"182,935","140,388","47,845",633,"371,801","371,801"
IAD,2011,"178,589","135,795","46,862",451,"361,697","361,697"
IAD,2012,"167,587","127,506","42,540",753,"338,386","338,386"
IAD,2013,"162,838","129,412","41,218",984,"334,452","334,452"
IAD,2014,"152,850","121,955","39,113",594,"314,512","314,512"
IAD,2015,"164,204","92,995","37,126",482,"294,807","294,807"
IAD,2016,"171,175","84,232","36,256",461,"292,124","292,124"
IAD,2017,"180,324","74,836","38,614",292,"294,066","294,066"
IAD,2018,"183,297","86,596","35,330",320,"305,543","305,543"
IAD,2019,"39,560","21,741","7,900",76,"69,277","69,277"
IAH,1989,"52,116","12,119","10,381",344,"74,960","74,960"
IAH,1990,"216,933","54,033","42,067","1,403","314,436","314,436"
IAH,1991,"207,980","57,919","42,872","1,826","310,597","310,597"
IAH,1992,"224,810","58,359","42,027","1,690","326,886","326,886"
